"Hotel Name","Hotel ID"
"Hotel Clover Patong Phuket (formerly Surf Hotel Patong)","66382645"
"Cloud7 Residence AlUla","58118894"
"One&Only One Za'abeel","80183651"
"One&Only One Za'abeel","80183651"
"Swissôtel Al Murooj Dubai","90001468"
"ibis Styles Dubai Airport Hotel","21724521"
"ibis Styles Dubai Airport Hotel","21724521"
"Wyndham La Vita Phuket","49932480"
"Grand Millennium Al Wahda Abu Dhabi","1267011"
"voco Dubai","2225317"
"Athina Suites Hotel","15338647"
"The Hotel Galleria Jeddah, Curio Collection by Hilton","82202484"
"ibis Styles Dubai Airport Hotel","21724521"
"ibis Styles Dubai Airport Hotel","21724521"
"Montreal Barsha Hotel","1519517"
"Rabigh Park Hotel","83399950"
"Cloud7 Residence AlUla","58118894"
"Swiss Al Hamra Hotel","1851313"
"Grand Mercure Dubai City","38970443"
"ibis Styles Dubai Airport Hotel","21724521"
"Hotel Novotel Yanbu","59951875"
"Washington Hilton","1103839"
"ibis Styles Dubai Airport Hotel","21724521"
"Washington Hilton","1103839"
"Arizona Biltmore,  LXR Hotels & Resorts","1636988"
"My Story Hotel Ouro","2413184"
"Aram Hotel - AlMeshael Exit 18","67125690"
"Eastyard Khobar Hotel","2267250"
"Patong Resort Hotel - SHA Extra Plus","1795897"
"Hotel Novotel Yanbu","59951875"
"Hampton Inn & Suites Miami Wynwood Design District","59474551"
"The Venue Jeddah Corniche","4387800"
"ibis Styles Dubai Airport Hotel","21724521"
"Hilton Fort Lauderdale Marina","2146059"
"Grand Mercure Dubai City","38970443"
"Hampton Inn & Suites Vanderbilt Elliston Place","1417496"
"Raffles Makkah Palace","1483121"
"Al Liwan Suites Doha","5179360"
"Kaani Beach Hotel","1855139"
"Hotel Clover Patong Phuket (formerly Surf Hotel Patong)","66382645"
"Kempinski The Boulevard Dubai","44090629"
"Kenzi Solazur Tanger","1028127"
"Hilton Quebec","1023083"
"DoubleTree by Hilton Hotel Toronto Downtown","1585679"
"Somewhere Hotel Al Ahsa","2628064"
"ibis Styles Dubai Airport Hotel","21724521"
"Hilton Garden Inn Orlando Airport","1521900"
"Millennium Plaza Downtown Hotel","1578975"
"Barceló Residences Dubai Marina","51302635"
"Kenzi Solazur Tanger","1028127"
"Millennium Plaza Downtown Hotel","1578975"
"Southern Sun Abu Dhabi","2439123"
"The S Hotel Al Barsha","99497090"
"Hilton Alexandria Mark Center","1838053"
"Embassy Suites by Hilton Chicago O'Hare Rosemont","1072643"
"Hilton Quebec","1023083"
"Hilton Quebec","1023083"
"Hilton Garden Inn Merida","10848416"
"Hampton Inn Philadelphia Center City-Convention Center","3055327"
"Hilton Quebec","1023083"
"Hilton Quebec","1023083"
"Millennium Plaza Downtown Hotel","1578975"
"Swissôtel Al Murooj Dubai","90001468"
"Meliá Orlando Celebration","1784211"
"ibis Styles Dubai Airport Hotel","21724521"
"DoubleTree by Hilton Montreal","1343914"
"Al Mashreq Boutique Hotel","4866782"
"ibis Styles Dubai Airport Hotel","21724521"
"Hampton Inn & Suites West Lafayette","25617135"
"Econo Lodge","1026095"
"Hilton Paris Charles de Gaulle Airport","1124320"
"Hilton Quebec","1023083"
"Hilton Quebec","1023083"
"DoubleTree by Hilton Hotel Denver","2299405"
"Hotel Fera Anaheim, a DoubleTree by Hilton","1789284"
"DoubleTree by Hilton Hotel Boston North Shore","3303516"
"Fairmont Dubai","1261096"
"Park Regis Business Bay","85095667"
"Hilton Quebec","1023083"
"ibis Styles Dubai Airport Hotel","21724521"
"Embassy Suites by Hilton Chicago O'Hare Rosemont","1072643"
"Kenzi Solazur Tanger","1028127"
"Hilton Quebec","1023083"
"Hotel Clover Patong Phuket (formerly Surf Hotel Patong)","66382645"
"Hilton Quebec","1023083"
"Hilton Quebec","1023083"
"Meliá Orlando Celebration","1784211"
"Hotel Flor Tampa Downtown, Tapestry Collection by Hilton","3231896"
"Hilton Phoenix Resort at the Peak","1102750"
"Fairmont Dubai","1261096"
"Al Farhan Hotel Suites Al Aqiq","78772730"
"Grand Mercure Dubai City","38970443"
"Comfort Hotel Bolivar","3069683"
"voco Makkah","34659922"
"HILTON MISSISSAUGA/MEADOWVALE","2261606"
"Grand Mercure Dubai City","38970443"
"Hampton by Hilton Panama","3664876"
"Amalia Hotel Athens","1696202"
"Four Seasons Hotel Apartments","68966362"
"Sofitel Shahd Al Madinah","2891071"
"Grand Mercure Dubai City","38970443"
"Diwane Hotel","1553602"
"Diwane Hotel","1553602"
"Grand Mercure Dubai City","38970443"
"Hilton Providence","2234282"
"Grand Mercure Dubai City","38970443"
"Citymax Hotel Al Barsha At The Mall","2451750"
"ibis Styles Dubai Airport Hotel","21724521"
"Grand Mercure Dubai City","38970443"
"DoubleTree by Hilton McLean Tysons","2284844"
"Comfort Suites Downtown","1557017"
"Wyndham Grand Manama","50166707"
"Grand Mercure Dubai City","38970443"
"Warwick Doha","49586076"
"Luxury Night Hotel","95997385"
"BLUESEA Costa Jardin Spa","1977986"
"Executives Hotel -  KAFD","17254284"
"The Venue Jeddah Corniche","4387800"
"Hilton Raleigh North Hills","2332852"
"Warwick Hotel Jeddah","21763337"
